text,emotion
Right now I feel stressed about money this week.,stress
I've been content with how things are going and everything feels right.,happy
I've been nervous and can't sit still and my heart races.,anxiety
I'm irritated by everything today every time it happens.,anger
Right now I feel under a lot of pressure lately and it's affecting my sleep.,stress
I've been feeling like a burden to everyone around me every single day.,depression
"Honestly, I feel sad for no clear reason even when good things happen.",depression
I've been restless and jittery and I can't calm down.,anxiety
"I feel fine, just an average day and that's fine by me.",neutral
"Honestly, I feel like I'm just going through the motions and it's been going on for weeks.",depression
I feel under a lot of pressure lately and I don't see it slowing down.,stress
I am swamped with responsibilities and it's affecting my sleep.,stress
I'm running on no sleep because of stress and I don't see it slowing down.,stress
I feel feeling optimistic about everything because of the people around me.,happy
I've been feeling like I can't enjoy things I used to love every single day.,depression
I've been feeling hopeless and empty every single day.,depression
I feel mad about the unfair situation and it's hard to stay calm.,anger
I feel thrilled about the good news.,happy
I feel pissed off about the whole thing and I can't shake it off.,anger
I've been really excited about the future and it feels amazing.,happy
I feel scared even though nothing is technically wrong and it's hard to focus on anything else.,anxiety
I'm peaceful this afternoon overall.,neutral
I feel numb most of the time and I don't know why.,depression
Right now I feel under a lot of pressure lately with no time to breathe.,stress
I'm angry that things never seem to go my way and it's hard to stay calm.,anger
I'd say I'm peaceful this afternoon and that's fine by me.,neutral
I feel like I have no motivation to do anything every single day.,depression
I'd say I'm quiet and uneventful overall.,neutral
I'm irritated by everything today and I just need to vent.,anger
My mind is really anxious about the future and it's hard to focus on anything else.,anxiety
I am under a lot of pressure lately and I can't relax.,stress
I'm worried something bad is going to happen.,anxiety
I've been feeling exhausted no matter how much I sleep and I don't know why.,depression
I've been irritated by everything today every time it happens.,anger
I get mad about the unfair situation and I can't shake it off.,anger
I've been racing with worried thoughts and it's hard to focus on anything else.,anxiety
I keep feeling worried something bad is going to happen and my heart races.,anxiety
These days I feel sad for no clear reason and it's been going on for weeks.,depression
Right now I feel anxious about everything I have to finish.,stress
I feel under a lot of pressure lately this week.,stress
Today I feel so happy and grateful for the first time in a while.,happy
I've been mad about the unfair situation.,anger
I've been feeling exhausted no matter how much I sleep even when good things happen.,depression
I'm anxious about everything I have to finish with no time to breathe.,stress
Right now I'm really excited about the future and I want to celebrate.,happy
"Today was steady, not too high or low overall.",neutral
I'm settled and at ease like most days.,neutral
I feel peaceful this afternoon like most days.,neutral
I feel cheerful and full of energy and I want to celebrate.,happy
Things have been peaceful this afternoon overall.,neutral
Right now I feel running on no sleep because of stress.,stress
I've been in a great mood today and I want to celebrate.,happy
My mind is anxious about things I can't control.,anxiety
Right now I'm content with how things are going.,happy
I've been anxious about everything I have to finish this week.,stress
"Today was fine, just an average day overall.",neutral
I feel so angry and frustrated and I can't shake it off.,anger
Right now I feel overwhelmed with deadlines at work with no time to breathe.,stress
Right now I feel swamped with responsibilities.,stress
"Honestly, I feel like I can't enjoy things I used to love and it's been going on for weeks.",depression
My mind is racing with worried thoughts and my heart races.,anxiety
I'm so happy and grateful because of the people around me.,happy
I'm swamped with responsibilities with no time to breathe.,stress
Right now I'm resentful about how it turned out every time it happens.,anger
I've been resentful about how it turned out every time it happens.,anger
I'm so angry and frustrated.,anger
I'm proud of what I accomplished and it feels amazing.,happy
I'm overloaded with tasks I can't keep up with and it's affecting my sleep.,stress
Things have been calm and relaxed and I don't mind it.,neutral
I am so stressed about my exams.,stress
I feel quiet and uneventful and that's fine by me.,neutral
Today I feel proud of what I accomplished for the first time in a while.,happy
I've been so angry and frustrated and I can't shake it off.,anger
I am overloaded with tasks I can't keep up with this week.,stress
Today I feel cheerful and full of energy.,happy
I feel so stressed about my exams and it's affecting my sleep.,stress
I feel content with how things are going and everything feels right.,happy
Right now I'm mad about the unfair situation every time it happens.,anger
I get so angry and frustrated every time it happens.,anger
Today I feel so happy and grateful and it feels amazing.,happy
I'm so stressed about my exams and I can't relax.,stress
"I'm steady, not too high or low.",neutral
I'm pissed off about the whole thing.,anger
I feel irritated by everything today and I can't shake it off.,anger
I feel like a burden to everyone around me and it's been going on for weeks.,depression
I feel like I have no motivation to do anything and it's been going on for weeks.,depression
I've been delighted with how the day went for the first time in a while.,happy
Lately I've felt like I have no motivation to do anything even when good things happen.,depression
I feel under a lot of pressure lately.,stress
I'm content with how things are going.,happy
I keep feeling nervous and can't sit still and I can't calm down.,anxiety
"Today was neither happy nor sad, just neutral and I don't mind it.",neutral
Today I feel proud of what I accomplished and everything feels right.,happy
Right now I feel running on no sleep because of stress this week.,stress
These days I feel like getting out of bed takes everything I have every single day.,depression
I'm fed up with being ignored every time it happens.,anger
Today I feel in a great mood today and everything feels right.,happy
"I'm fine, just an average day like most days.",neutral
Lately I've felt numb most of the time and it's been going on for weeks.,depression
Lately I've felt worthless.,depression
I'm just going about my day as usual and that's fine by me.,neutral
I feel really anxious about the future.,anxiety
I feel just going about my day as usual overall.,neutral
"Things have been neither happy nor sad, just neutral like most days.",neutral
I feel in a great mood today and everything feels right.,happy
I've been swamped with responsibilities and I don't see it slowing down.,stress
Right now I feel swamped with responsibilities this week.,stress
I'm delighted with how the day went and I want to celebrate.,happy
I feel content with a normal routine.,neutral
I feel swamped with responsibilities with no time to breathe.,stress
I feel frustrated that no one listens to me.,anger
"Honestly, I feel like I'm just going through the motions no matter what I try.",depression
I've been feeling like nothing matters anymore even when good things happen.,depression
Lately I've felt exhausted no matter how much I sleep and I don't know why.,depression
I am so stressed about my exams and I don't see it slowing down.,stress
I feel quiet and uneventful like most days.,neutral
I feel swamped with responsibilities this week.,stress
"I'm pretty okay, nothing special with nothing much happening.",neutral
I am so stressed about my exams and it's affecting my sleep.,stress
Things have been quiet and uneventful.,neutral
I get annoyed at my coworkers and I can't shake it off.,anger
I feel furious about how I was treated.,anger
My mind is scared even though nothing is technically wrong and it's hard to focus on anything else.,anxiety
I feel running on no sleep because of stress and I don't see it slowing down.,stress
I feel mad about the unfair situation and I can't shake it off.,anger
I'm feeling optimistic about everything.,happy
"Things have been fine, just an average day overall.",neutral
I'm in a great mood today.,happy
Right now I'm feeling optimistic about everything because of the people around me.,happy
I've been mad about the unfair situation and I just need to vent.,anger
Right now I'm so angry and frustrated and it's hard to stay calm.,anger
I've been so stressed about my exams and it's affecting my sleep.,stress
I feel tense because of all the deadlines and I don't see it slowing down.,stress
I'm content with a normal routine and I don't mind it.,neutral
I get frustrated that no one listens to me and I want to yell.,anger
"Honestly, I feel like nothing matters anymore.",depression
I am swamped with responsibilities and I can't relax.,stress
I feel worthless no matter what I try.,depression
Today I feel really excited about the future and I want to celebrate.,happy
I feel overwhelmed with deadlines at work and I don't see it slowing down.,stress
I'm so angry and frustrated and I just need to vent.,anger
Right now I'm so happy and grateful and everything feels right.,happy
I've been proud of what I accomplished.,happy
I feel on edge all the time.,anxiety
"Honestly, I feel disconnected from everyone and it's been going on for weeks.",depression
I'm settled and at ease and I don't mind it.,neutral
Today I feel thrilled about the good news.,happy
My mind is restless and jittery and it's hard to focus on anything else.,anxiety
I'm resentful about how it turned out and I want to yell.,anger
I'm quiet and uneventful and that's fine by me.,neutral
I'm peaceful this afternoon with nothing much happening.,neutral
I feel so angry and frustrated and I want to yell.,anger
Lately I've felt hopeless and empty no matter what I try.,depression
These days I feel worthless every single day.,depression
My mind is on edge all the time.,anxiety
Today I feel delighted with how the day went and I want to celebrate.,happy
I keep feeling overthinking every small decision and it's hard to focus on anything else.,anxiety
I've been running on no sleep because of stress.,stress
I'd say I'm peaceful this afternoon with nothing much happening.,neutral
Right now I'm annoyed at my coworkers and I just need to vent.,anger
I've been feeling sad for no clear reason and I don't know why.,depression
Right now I'm pissed off about the whole thing and I just need to vent.,anger
I keep feeling worried something bad is going to happen.,anxiety
I feel anxious about things I can't control before big events.,anxiety
Things have been peaceful this afternoon.,neutral
I am anxious about everything I have to finish this week.,stress
I feel quiet and uneventful.,neutral
I keep feeling really anxious about the future and my heart races.,anxiety
Today was settled and at ease and I don't mind it.,neutral
I'm furious about how I was treated and I just need to vent.,anger
My mind is racing with worried thoughts before big events.,anxiety
"Things have been neither happy nor sad, just neutral and I don't mind it.",neutral
I've been mad about the unfair situation and I want to yell.,anger
"Today was steady, not too high or low and I don't mind it.",neutral
I'm swamped with responsibilities and it's affecting my sleep.,stress
I keep feeling panicky before I have to speak in public and it's hard to focus on anything else.,anxiety
Right now I'm delighted with how the day went and everything feels right.,happy
My mind is on edge all the time before big events.,anxiety
Today I feel feeling optimistic about everything and I want to celebrate.,happy
"Things have been fine, just an average day.",neutral
I'm just going about my day as usual and I don't mind it.,neutral
Today I feel feeling optimistic about everything and everything feels right.,happy
I've been really anxious about the future.,anxiety
"I'm neither happy nor sad, just neutral and that's fine by me.",neutral
Right now I feel tense because of all the deadlines and I can't relax.,stress
I am tense because of all the deadlines.,stress
Right now I feel stressed about money with no time to breathe.,stress
Things have been peaceful this afternoon with nothing much happening.,neutral
I've been hopeful and looking forward to what's next because of the people around me.,happy
I'm really anxious about the future and it's hard to focus on anything else.,anxiety
I'm swamped with responsibilities and I don't see it slowing down.,stress
I've been feeling like I'm just going through the motions no matter what I try.,depression
I've been content with how things are going for the first time in a while.,happy
I feel anxious about things I can't control for no obvious reason.,anxiety
Right now I'm pissed off about the whole thing and I can't shake it off.,anger
"Honestly, I feel numb most of the time and I don't know why.",depression
I'm restless and jittery for no obvious reason.,anxiety
I'm overwhelmed with deadlines at work and I don't see it slowing down.,stress
I've been overwhelmed with deadlines at work.,stress
I've been delighted with how the day went.,happy
I'm so stressed about my exams and it's affecting my sleep.,stress
Today was peaceful this afternoon like most days.,neutral
These days I feel like I have no motivation to do anything every single day.,depression
I'm tense because of all the deadlines and I can't relax.,stress
My mind is nervous and can't sit still and it's hard to focus on anything else.,anxiety
I'm just going about my day as usual.,neutral
I've been feeling worthless and I don't know why.,depression
Today was settled and at ease and that's fine by me.,neutral
I feel pissed off about the whole thing every time it happens.,anger
"Things have been neither happy nor sad, just neutral with nothing much happening.",neutral
Lately I've felt hopeless and empty.,depression
I'm under a lot of pressure lately.,stress
I feel resentful about how it turned out and it's hard to stay calm.,anger
I get fed up with being ignored and I can't shake it off.,anger
I feel really excited about the future and I want to celebrate.,happy
I'd say I'm just going about my day as usual and I don't mind it.,neutral
I feel frustrated that no one listens to me and I can't shake it off.,anger
I keep feeling anxious about things I can't control and it's hard to focus on anything else.,anxiety
I feel worried something bad is going to happen and I can't calm down.,anxiety
I've been angry that things never seem to go my way and I want to yell.,anger
Right now I'm fed up with being ignored and I just need to vent.,anger
I'd say I'm content with a normal routine with nothing much happening.,neutral
Today was calm and relaxed overall.,neutral
I'm anxious about everything I have to finish and I don't see it slowing down.,stress
I feel mad about the unfair situation.,anger
I'm resentful about how it turned out and I just need to vent.,anger
I keep feeling really anxious about the future and it's hard to focus on anything else.,anxiety
I feel stretched way too thin and I can't relax.,stress
I'm really excited about the future for the first time in a while.,happy
I've been angry that things never seem to go my way and I can't shake it off.,anger
I feel peaceful this afternoon and that's fine by me.,neutral
I keep feeling anxious about things I can't control and my heart races.,anxiety
I feel irritated by everything today every time it happens.,anger
I'm proud of what I accomplished and everything feels right.,happy
I'd say I'm calm and relaxed overall.,neutral
I've been really excited about the future.,happy
I've been pissed off about the whole thing every time it happens.,anger
I've been feeling like nothing matters anymore no matter what I try.,depression
Right now I feel anxious about everything I have to finish and I don't see it slowing down.,stress
Right now I'm cheerful and full of energy and everything feels right.,happy
I've been irritated by everything today and I want to yell.,anger
Right now I'm thrilled about the good news and everything feels right.,happy
I feel sad for no clear reason and I don't know why.,depression
Lately I've felt like nothing matters anymore and I don't know why.,depression
I feel overwhelmed with deadlines at work and it's affecting my sleep.,stress
I'm in a great mood today because of the people around me.,happy
I'm worried something bad is going to happen and I can't calm down.,anxiety
Right now I'm frustrated that no one listens to me every time it happens.,anger
I'm annoyed at my coworkers.,anger
Lately I've felt exhausted no matter how much I sleep every single day.,depression
Things have been settled and at ease with nothing much happening.,neutral
Right now I'm really excited about the future for the first time in a while.,happy
"Honestly, I feel like nothing matters anymore and it's been going on for weeks.",depression
I've been frustrated that no one listens to me and I just need to vent.,anger
I feel like a burden to everyone around me every single day.,depression
"Honestly, I feel like I have no motivation to do anything and it's been going on for weeks.",depression
I feel in a great mood today because of the people around me.,happy
I feel quiet and uneventful overall.,neutral
I've been frustrated that no one listens to me.,anger
I'd say I'm settled and at ease with nothing much happening.,neutral
"Honestly, I feel sad for no clear reason every single day.",depression
I feel swamped with responsibilities and I don't see it slowing down.,stress
I'm overloaded with tasks I can't keep up with and I don't see it slowing down.,stress
My mind is worried something bad is going to happen.,anxiety
Today I feel content with how things are going for the first time in a while.,happy
I feel frustrated that no one listens to me and I want to yell.,anger
I feel peaceful this afternoon overall.,neutral
I've been feeling like nothing matters anymore and it's been going on for weeks.,depression
I feel mad about the unfair situation every time it happens.,anger
I keep feeling worried something bad is going to happen for no obvious reason.,anxiety
I keep feeling racing with worried thoughts for no obvious reason.,anxiety
Today was calm and relaxed and I don't mind it.,neutral
I've been feeling like I have no motivation to do anything even when good things happen.,depression
I've been feeling numb most of the time.,depression
I feel nervous and can't sit still and it's hard to focus on anything else.,anxiety
I've been overthinking every small decision.,anxiety
I keep feeling worried something bad is going to happen before big events.,anxiety
I'm calm and relaxed and I don't mind it.,neutral
I've been really excited about the future and everything feels right.,happy
I feel like getting out of bed takes everything I have no matter what I try.,depression
Lately I've felt sad for no clear reason every single day.,depression
I keep feeling scared even though nothing is technically wrong.,anxiety
Things have been just going about my day as usual and that's fine by me.,neutral
"Honestly, I feel like I can't enjoy things I used to love every single day.",depression
I feel stretched way too thin with no time to breathe.,stress
I've been frustrated that no one listens to me and I want to yell.,anger
I've been scared even though nothing is technically wrong and I can't calm down.,anxiety
I've been nervous and can't sit still before big events.,anxiety
Lately I've felt like nothing matters anymore every single day.,depression
These days I feel numb most of the time.,depression
I've been so stressed about my exams with no time to breathe.,stress
My mind is nervous and can't sit still for no obvious reason.,anxiety
I feel delighted with how the day went for the first time in a while.,happy
Right now I'm content with how things are going and I want to celebrate.,happy
I get angry that things never seem to go my way and it's hard to stay calm.,anger
My mind is anxious about things I can't control and it's hard to focus on anything else.,anxiety
I keep feeling restless and jittery.,anxiety
Right now I feel so stressed about my exams this week.,stress
I'm anxious about things I can't control and it's hard to focus on anything else.,anxiety
My mind is worried something bad is going to happen before big events.,anxiety
Right now I feel overwhelmed with deadlines at work and I can't relax.,stress
I'm so stressed about my exams and I don't see it slowing down.,stress
I keep feeling panicky before I have to speak in public.,anxiety
I'd say I'm quiet and uneventful.,neutral
I've been feeling like getting out of bed takes everything I have no matter what I try.,depression
My mind is overthinking every small decision and my heart races.,anxiety
I feel in a great mood today.,happy
Right now I'm proud of what I accomplished and everything feels right.,happy
I'm overloaded with tasks I can't keep up with and I can't relax.,stress
Right now I'm so angry and frustrated and I can't shake it off.,anger
I keep feeling on edge all the time and my heart races.,anxiety
I feel quiet and uneventful and I don't mind it.,neutral
I've been nervous and can't sit still and I can't calm down.,anxiety
I feel like I can't enjoy things I used to love and I don't know why.,depression
I've been stretched way too thin.,stress
I get mad about the unfair situation every time it happens.,anger
I've been delighted with how the day went and everything feels right.,happy
I'd say I'm peaceful this afternoon and I don't mind it.,neutral
I'm fed up with being ignored and it's hard to stay calm.,anger
Right now I'm delighted with how the day went because of the people around me.,happy
I feel content with how things are going and I want to celebrate.,happy
I feel calm and relaxed and I don't mind it.,neutral
I feel panicky before I have to speak in public and my heart races.,anxiety
I keep feeling anxious about things I can't control and I can't calm down.,anxiety
I feel calm and relaxed with nothing much happening.,neutral
I feel overthinking every small decision for no obvious reason.,anxiety
These days I feel disconnected from everyone no matter what I try.,depression
I'm under a lot of pressure lately and it's affecting my sleep.,stress
I feel panicky before I have to speak in public before big events.,anxiety
"I'd say I'm pretty okay, nothing special overall.",neutral
Right now I'm so happy and grateful.,happy
"I feel neither happy nor sad, just neutral overall.",neutral
I'm tense because of all the deadlines and I don't see it slowing down.,stress
I feel thrilled about the good news for the first time in a while.,happy
I feel so happy and grateful for the first time in a while.,happy
I'm content with how things are going and it feels amazing.,happy
I've been resentful about how it turned out and I just need to vent.,anger
I'm thrilled about the good news and everything feels right.,happy
My mind is panicky before I have to speak in public and my heart races.,anxiety
I'd say I'm calm and relaxed and that's fine by me.,neutral
I've been overwhelmed with deadlines at work with no time to breathe.,stress
I keep feeling overthinking every small decision.,anxiety
"Honestly, I feel like I'm just going through the motions every single day.",depression
I feel overloaded with tasks I can't keep up with and I can't relax.,stress
I feel settled and at ease overall.,neutral
I am stressed about money and I don't see it slowing down.,stress
I'm stressed about money this week.,stress
These days I feel sad for no clear reason and I don't know why.,depression
"I feel pretty okay, nothing special and that's fine by me.",neutral
I'd say I'm peaceful this afternoon like most days.,neutral
I feel exhausted no matter how much I sleep every single day.,depression
Right now I feel under a lot of pressure lately.,stress
I feel calm and relaxed and that's fine by me.,neutral
I feel pissed off about the whole thing and I want to yell.,anger
I feel panicky before I have to speak in public and I can't calm down.,anxiety
Today I feel in a great mood today for the first time in a while.,happy
I've been tense because of all the deadlines and I can't relax.,stress
I've been proud of what I accomplished because of the people around me.,happy
My mind is panicky before I have to speak in public for no obvious reason.,anxiety
Right now I'm frustrated that no one listens to me and I just need to vent.,anger
I've been hopeful and looking forward to what's next and I want to celebrate.,happy
I'm hopeful and looking forward to what's next and everything feels right.,happy
Lately I've felt sad for no clear reason even when good things happen.,depression
I'm really anxious about the future for no obvious reason.,anxiety
I've been fed up with being ignored and I want to yell.,anger
Lately I've felt hopeless and empty and it's been going on for weeks.,depression
Today I feel feeling optimistic about everything because of the people around me.,happy
Right now I'm proud of what I accomplished because of the people around me.,happy
I feel feeling optimistic about everything.,happy
I feel scared even though nothing is technically wrong and I can't calm down.,anxiety
Right now I'm delighted with how the day went and I want to celebrate.,happy
I've been panicky before I have to speak in public and it's hard to focus on anything else.,anxiety
"I'm pretty okay, nothing special like most days.",neutral
I've been overwhelmed with deadlines at work and I can't relax.,stress
"Today was steady, not too high or low.",neutral
My mind is worried something bad is going to happen for no obvious reason.,anxiety
I'm delighted with how the day went.,happy
"Honestly, I feel like I can't enjoy things I used to love and I don't know why.",depression
"Things have been pretty okay, nothing special and that's fine by me.",neutral
I've been panicky before I have to speak in public.,anxiety
Lately I've felt like nothing matters anymore no matter what I try.,depression
I've been fed up with being ignored and it's hard to stay calm.,anger
I've been so happy and grateful and everything feels right.,happy
I feel fed up with being ignored and I just need to vent.,anger
Right now I'm annoyed at my coworkers and I can't shake it off.,anger
I'm so angry and frustrated and it's hard to stay calm.,anger
These days I feel hopeless and empty every single day.,depression
I keep feeling really anxious about the future for no obvious reason.,anxiety
I've been resentful about how it turned out and I want to yell.,anger
I've been feeling like I can't enjoy things I used to love no matter what I try.,depression
I'm really excited about the future.,happy
I've been thrilled about the good news because of the people around me.,happy
I am overwhelmed with deadlines at work and I can't relax.,stress
I've been anxious about things I can't control.,anxiety
I've been pissed off about the whole thing and I want to yell.,anger
I'd say I'm quiet and uneventful and I don't mind it.,neutral
My mind is overthinking every small decision.,anxiety
I'm so angry and frustrated every time it happens.,anger
"Honestly, I feel like I have no motivation to do anything even when good things happen.",depression
My mind is restless and jittery before big events.,anxiety
I am tense because of all the deadlines with no time to breathe.,stress
I've been feeling disconnected from everyone and I don't know why.,depression
I feel so happy and grateful and it feels amazing.,happy
I feel under a lot of pressure lately and it's affecting my sleep.,stress
I feel irritated by everything today and it's hard to stay calm.,anger
I get so angry and frustrated and it's hard to stay calm.,anger
I'm feeling optimistic about everything and everything feels right.,happy
These days I feel like a burden to everyone around me and I don't know why.,depression
Right now I'm annoyed at my coworkers every time it happens.,anger
I'm frustrated that no one listens to me and I just need to vent.,anger
I get angry that things never seem to go my way and I want to yell.,anger
"Today was steady, not too high or low with nothing much happening.",neutral
"Honestly, I feel exhausted no matter how much I sleep no matter what I try.",depression
I feel nervous and can't sit still and I can't calm down.,anxiety
I feel annoyed at my coworkers and it's hard to stay calm.,anger
I feel calm and relaxed.,neutral
I'm feeling optimistic about everything and I want to celebrate.,happy
I feel racing with worried thoughts before big events.,anxiety
I'm anxious about everything I have to finish this week.,stress
Lately I've felt like I have no motivation to do anything.,depression
These days I feel like a burden to everyone around me no matter what I try.,depression
I've been so stressed about my exams this week.,stress
Right now I feel overwhelmed with deadlines at work and it's affecting my sleep.,stress
I've been stressed about money and I can't relax.,stress
I've been thrilled about the good news and it feels amazing.,happy
I've been feeling hopeless and empty and it's been going on for weeks.,depression
I feel panicky before I have to speak in public for no obvious reason.,anxiety
I'm angry that things never seem to go my way every time it happens.,anger
Right now I'm angry that things never seem to go my way and I can't shake it off.,anger
I'm proud of what I accomplished for the first time in a while.,happy
I'm annoyed at my coworkers and I just need to vent.,anger
These days I feel sad for no clear reason.,depression
Things have been content with a normal routine with nothing much happening.,neutral
I've been stressed about money with no time to breathe.,stress
I've been so stressed about my exams and I don't see it slowing down.,stress
Lately I've felt like a burden to everyone around me every single day.,depression
I've been feeling like a burden to everyone around me no matter what I try.,depression
Lately I've felt exhausted no matter how much I sleep.,depression
I'm pissed off about the whole thing and I can't shake it off.,anger
I keep feeling nervous and can't sit still and it's hard to focus on anything else.,anxiety
I'm furious about how I was treated.,anger
I've been hopeful and looking forward to what's next.,happy
I'm so happy and grateful and it feels amazing.,happy
I've been feeling numb most of the time even when good things happen.,depression
I feel settled and at ease and I don't mind it.,neutral
Right now I'm really excited about the future because of the people around me.,happy
I feel resentful about how it turned out.,anger
"I feel neither happy nor sad, just neutral like most days.",neutral
I'm overwhelmed with deadlines at work this week.,stress
Lately I've felt like I have no motivation to do anything and I don't know why.,depression
I've been feeling like a burden to everyone around me.,depression
"Honestly, I feel hopeless and empty.",depression
I feel content with a normal routine and that's fine by me.,neutral
I'm panicky before I have to speak in public and my heart races.,anxiety
I'm content with how things are going for the first time in a while.,happy
I'm content with how things are going and I want to celebrate.,happy
"Today was pretty okay, nothing special overall.",neutral
These days I feel hopeless and empty and it's been going on for weeks.,depression
My mind is worried something bad is going to happen and my heart races.,anxiety
I've been feeling numb most of the time no matter what I try.,depression
I've been tense because of all the deadlines and I don't see it slowing down.,stress
"Things have been pretty okay, nothing special with nothing much happening.",neutral
"Honestly, I feel exhausted no matter how much I sleep even when good things happen.",depression
I keep feeling on edge all the time.,anxiety
Right now I feel tense because of all the deadlines and I don't see it slowing down.,stress
My mind is anxious about things I can't control for no obvious reason.,anxiety
Right now I'm annoyed at my coworkers and I want to yell.,anger
I feel restless and jittery before big events.,anxiety
These days I feel hopeless and empty and I don't know why.,depression
I'm restless and jittery and I can't calm down.,anxiety
I feel disconnected from everyone.,depression
I feel overthinking every small decision and my heart races.,anxiety
"Today was fine, just an average day.",neutral
I've been restless and jittery for no obvious reason.,anxiety
"I'd say I'm neither happy nor sad, just neutral like most days.",neutral
I feel anxious about everything I have to finish and I can't relax.,stress
Things have been content with a normal routine.,neutral
"Honestly, I feel like a burden to everyone around me and it's been going on for weeks.",depression
I feel anxious about things I can't control and it's hard to focus on anything else.,anxiety
"I'm steady, not too high or low like most days.",neutral
